file_name,total_junctions,RAG1D_both,RAG1D_neg,RAG1D_pos,RAG1L_both,RAG1L_neg,RAG1L_pos
WJL927_RLF_N016_JoinT,112193,3567,2758,809,104692,104619,73
WJL928_RLF_N016_JoinT,30884,596,432,164,29370,29344,26
